ProductId,ItemCode,ItemDescription,FamilyName,GroupHeader,MainGroup,SubGroup1,SubGroup2,SubGroup3,SubGroup4,SubGroup5,SubGroup6,SubGroup7,SubGroup8,ProductFamily,ItemPurchaseType,Price in USD - P.Y,Price in USD - C.Y,Price in INR - P.Y,Price in INR - C.Y,AnnexureId,UnitofMeasures,EDApplicable,VATApplicable,PackageType,VariantCode,VariantDescription,BelongsTo,,,,
19,C03C292242-,Base Cabinet, 2 Door, 29H x 22D x 42L,Steel Cabinet-Sitting-Base Mounted-Double Cupboard-Kewaunee-C03.rfa,Lab Design ,0SF,Research Collection,Base Cabinets,Sitting Height,Cupboard Cabinet,,,C03C39,Import,900,900,900,900,2,Nos,2,Nos,,,,Furniture,,,,
20,C03C292248-,Base Cabinet, 2 Door, 29H x 22D x 48L,Steel Cabinet-Sitting-Base Mounted-Double Cupboard-Kewaunee-C03.rfa,Lab Design ,0SF,Research Collection,Base Cabinets,Sitting Height,Cupboard Cabinet,,,C03C40,Import,900,900,900,900,2,Nos,2,Nos,,,,Furniture,,,,
21,D00C292215-,Base Cabinet, 3 Dwr, 29H x 22D x 15L,Steel Cabinet-Sitting-Base Mounted-Single Handle Drawer-Kewaunee-D00.rfa,Lab Design ,0SF,Research Collection,Base Cabinets,Sitting Height,Drawer Cabinet,,,D00C29,Import,900,900,900,900,2,Nos,2,Nos,,,,Furniture,,,,
22,D00C292218-,Base Cabinet, 3 Dwr, 29H x 22D x 18L,Steel Cabinet-Sitting-Base Mounted-Single Handle Drawer-Kewaunee-D00.rfa,Lab Design ,0SF,Research Collection,Base Cabinets,Sitting Height,Drawer Cabinet,,,D00C29,Import,900,900,900,900,2,Nos,2,Nos,,,,Furniture,,,,
23,D00C292221-,Base Cabinet, 3 Dwr, 29H x 22D x 21L,Steel Cabinet-Sitting-Base Mounted-Single Handle Drawer-Kewaunee-D00.rfa,Lab Design ,0SF,Research Collection,Base Cabinets,Sitting Height,Drawer Cabinet,,,D00C29,Import,900,900,900,900,2,Nos,2,Nos,,,,Furniture,,,,
24,D00C292224-,Base Cabinet, 3 Dwr, 29H x 22D x 24L,Steel Cabinet-Sitting-Base Mounted-Single Handle Drawer-Kewaunee-D00.rfa,Lab Design ,0SF,Research Collection,Base Cabinets,Sitting Height,Drawer Cabinet,,,D00C29,Import,900,900,900,900,2,Nos,2,Nos,,,,Furniture,,,,
25,D00C292230-,Base Cabinet, 3 Dwr, 29H x 22D x 30L,Steel Cabinet-Sitting-Base Mounted-Double Handle Drawer-Kewaunee-D00.rfa,Lab Design ,0SF,Research Collection,Base Cabinets,Sitting Height,Drawer Cabinet,,,D00C29,Import,900,900,900,900,2,Nos,2,Nos,,,,Furniture,,,,
26,D00C292236-,Base Cabinet, 3 Dwr, 29H x 22D x 36L,Steel Cabinet-Sitting-Base Mounted-Double Handle Drawer-Kewaunee-D00.rfa,Lab Design ,0SF,Research Collection,Base Cabinets,Sitting Height,Drawer Cabinet,,,D00C29,Import,900,900,900,900,2,Nos,2,Nos,,,,Furniture,,,,
27,D00C292242-,Base Cabinet, 3 Dwr, 29H x 22D x 42L,Steel Cabinet-Sitting-Base Mounted-Double Handle Drawer-Kewaunee-D00.rfa,Lab Design ,0SF,Research Collection,Base Cabinets,Sitting Height,Drawer Cabinet,,,D00C29,Import,900,900,900,900,2,Nos,2,Nos,,,,Furniture,,,,
28,D00C292248-,Base Cabinet, 3 Dwr, 29H x 22D x 48L,Steel Cabinet-Sitting-Base Mounted-Double Handle Drawer-Kewaunee-D00.rfa,Lab Design ,0SF,Research Collection,Base Cabinets,Sitting Height,Drawer Cabinet,,,D00C29,Import,900,900,900,900,2,Nos,2,Nos,,,,Furniture,,,,
